ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Z_CostContact,Z_Revenue,Response,Children,Customer_Age,Loyalty_Score,Eco_Friendly_Score,Recency_Score,Spending_Ratio,Income_Category
1994,1983,Graduation,Married,7500.0,1,0,2013-11-15,11,5,5,6,0,2,1,1,1,0,2,7,3,11,0,1,42,3,10.89,11,0.0,Very Low
387,1976,Primary,Married,7500.0,0,0,2012-11-13,59,6,16,11,11,1,16,1,2,0,3,8,3,11,0,0,49,5,34.94,59,0.01,Very Low
2125,1959,Graduation,Divorced,63033.0,0,0,2013-11-15,82,194,61,480,225,112,30,1,3,4,8,2,3,11,0,0,66,15,222.11,82,0.02,Medium
8180,1952,Graduate,Divorced,59354.0,1,1,2013-11-15,53,233,2,53,3,5,14,3,6,1,5,6,3,11,0,2,73,12,8.23,53,0.01,Low
2569,1987,Graduation,Married,17323.0,0,0,2012-10-10,38,3,14,17,6,1,5,1,1,0,3,8,3,11,0,0,38,4,30.16,38,0.0,Very Low
2114,1946,Doctorate,Single,82800.0,0,0,2012-11-24,23,1006,22,115,59,68,45,1,7,6,12,3,3,11,1,0,79,25,82.73,23,0.02,Medium
9736,1980,Graduation,Married,41850.0,1,1,2012-12-24,51,53,5,19,2,13,4,3,3,0,3,8,3,11,0,2,45,6,15.44,51,0.0,Low
4939,1946,Graduation,Together,37760.0,0,0,2012-08-31,20,84,5,38,150,12,28,2,4,1,6,7,3,11,0,0,79,11,45.41,20,0.01,Low
6565,1949,Graduate,Married,76995.0,0,1,2013-03-28,91,1012,80,498,0,16,176,2,11,4,9,5,3,11,0,1,76,24,183.78,91,0.02,Medium
2278,1985,2n Cycle,Single,33812.0,1,0,2012-11-03,86,4,17,19,30,24,39,2,2,1,3,6,3,11,0,1,40,6,48.7,86,0.0,Low
9360,1982,Graduation,Married,37040.0,0,0,2012-08-08,41,86,2,73,69,38,48,1,4,2,5,8,3,11,0,0,43,11,33.17,41,0.01,Low
5376,1979,Graduation,Married,2447.0,1,0,2013-01-06,42,1,1,1725,1,1,1,15,0,28,0,1,3,11,0,1,46,28,66.42,42,0.71,Very Low
1993,1949,Doctorate,Married,58607.0,0,1,2012-12-23,63,867,0,86,0,0,19,3,2,3,9,8,3,11,0,1,76,14,3.19,63,0.02,Low
4047,1954,Doctorate,Married,65324.0,0,1,2014-01-11,0,384,0,102,21,32,5,3,6,2,9,4,3,11,0,1,71,17,18.64,0,0.01,Medium
1409,1951,Graduation,Together,40689.0,0,1,2013-03-18,69,270,3,27,39,6,99,7,7,1,5,8,3,11,0,1,74,13,16.8,69,0.01,Low
7892,1969,Graduation,Single,18589.0,0,0,2013-01-02,89,6,4,25,15,12,13,2,2,1,3,7,3,11,0,0,56,6,15.93,89,0.0,Very Low
2404,1976,Graduation,Married,53359.0,1,1,2013-05-27,4,173,4,30,3,6,41,4,5,1,4,7,3,11,0,2,49,10,11.71,4,0.0,Low
5255,1986,Graduation,Single,7500.0,1,0,2013-02-20,19,5,1,3,3,263,362,0,27,0,0,1,3,11,0,1,39,27,90.38,19,0.08,Very Low
9422,1989,Graduation,Married,38360.0,1,0,2013-05-31,26,36,2,42,20,21,10,2,2,1,4,3,3,11,0,1,36,7,16.56,26,0.0,Low
1966,1965,Doctorate,Married,84618.0,0,0,2013-11-22,96,684,100,801,21,66,0,1,6,9,10,2,3,11,0,0,60,25,255.87,96,0.02,Medium
6864,1989,Graduate,Divorced,10979.0,0,0,2014-05-22,34,8,4,10,2,2,4,2,3,0,3,5,3,11,0,0,36,6,9.44,34,0.0,Very Low
3033,1963,Graduate,Together,38620.0,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,3,11,0,0,62,10,49.76,56,0.01,Low
5710,1970,Graduation,Together,40548.0,0,1,2012-10-10,31,110,0,5,2,0,3,2,2,1,4,5,3,11,0,1,55,7,0.59,31,0.0,Low
7373,1952,Doctorate,Divorced,46610.0,0,2,2012-10-29,8,96,12,96,33,22,43,6,4,1,6,6,3,11,1,2,73,11,41.49,8,0.01,Low
8755,1946,Graduate,Married,68657.0,0,0,2013-02-20,4,482,34,471,119,68,22,1,3,5,9,7,3,11,0,0,79,17,131.91,4,0.02,Medium
10738,1951,Graduate,Single,49389.0,1,1,2013-08-29,55,40,0,19,2,1,3,1,2,0,3,7,3,11,0,2,74,5,1.44,55,0.0,Low
4339,1970,Doctorate,Married,67353.0,0,1,2013-12-31,37,702,17,151,0,8,35,5,5,6,12,2,3,11,0,1,55,23,42.26,37,0.01,Medium
10755,1976,2n Cycle,Married,23718.0,1,0,2013-09-02,76,6,3,14,15,7,36,3,3,1,2,7,3,11,0,1,49,6,11.85,76,0.0,Very Low
8595,1973,Graduation,Widow,42429.0,0,1,2014-02-11,99,55,0,6,2,0,4,2,1,1,3,5,3,11,0,1,52,5,0.62,99,0.0,Low
2968,1943,Doctorate,Divorced,48948.0,0,0,2013-02-01,53,437,8,206,160,49,42,2,7,10,5,6,3,11,1,0,82,22,71.96,53,0.02,Low
8601,1980,Graduation,Married,80011.0,0,1,2013-04-29,3,421,76,536,82,178,102,2,8,6,5,4,3,11,0,1,45,19,247.59,3,0.02,Medium
503,1985,Graduate,Married,20559.0,1,0,2013-03-12,88,13,1,29,3,0,7,2,2,0,3,8,3,11,0,1,40,5,3.67,88,0.0,Very Low
8430,1957,Graduation,Together,21994.0,0,1,2012-12-24,4,9,0,6,3,1,3,1,0,0,3,5,3,11,0,1,68,3,1.16,4,0.0,Very Low
7281,1959,Doctorate,Single,7500.0,0,0,2013-11-05,80,81,11,50,3,2,39,1,1,3,4,2,3,11,0,0,66,8,25.12,80,0.02,Very Low
2139,1975,Graduate,Married,7500.0,1,0,2013-10-02,19,3,1,10,3,2,12,3,2,0,3,5,3,11,0,1,50,5,3.64,19,0.0,Very Low
1371,1976,Graduation,Single,79941.0,0,0,2014-06-28,72,123,164,266,227,30,174,1,2,4,9,1,3,11,0,0,49,15,393.25,72,0.01,Medium
9909,1996,2n Cycle,Married,7500.0,0,0,2012-11-09,24,3,18,14,15,22,50,3,3,1,3,9,3,11,1,0,29,7,46.85,24,0.02,Very Low
7286,1968,Graduation,Together,41728.0,1,0,2013-05-24,92,13,6,15,3,5,13,1,2,0,2,10,3,11,0,1,57,4,14.82,92,0.0,Low
7244,1951,Graduation,Single,7500.0,2,1,2014-01-01,96,48,5,48,6,10,7,3,2,1,4,6,3,11,0,3,74,7,16.31,96,0.02,Very Low
6566,1954,Doctorate,Married,72550.0,1,1,2012-11-08,39,826,50,317,50,38,38,9,5,2,12,8,3,11,0,2,71,19,134.41,39,0.02,Medium
8614,1957,Graduation,Widow,65486.0,0,1,2014-05-12,29,245,19,125,37,67,14,1,4,2,10,2,3,11,0,1,68,16,72.36,29,0.01,Medium
4114,1964,Graduate,Married,79143.0,0,0,2012-08-11,2,650,37,780,27,167,32,1,6,9,13,3,3,11,0,0,61,28,163.96,2,0.02,Medium
1331,1977,Graduation,Single,35790.0,1,0,2013-01-02,54,12,6,20,30,1,3,2,2,0,3,7,3,11,0,1,48,5,19.07,54,0.0,Low
2225,1977,Graduation,Divorced,82582.0,0,0,2014-06-07,54,510,120,550,156,40,241,1,4,9,7,1,3,11,1,0,48,20,304.9,54,0.02,Medium
9381,1978,Graduation,Married,66373.0,1,1,2013-06-12,57,328,9,124,12,24,109,7,4,2,10,3,3,11,0,2,47,16,32.99,57,0.01,Medium
6260,1955,Graduate,Together,82384.0,0,0,2012-11-19,55,984,51,432,180,120,190,1,3,10,13,1,3,11,1,0,70,26,194.0,55,0.02,Medium
10383,1966,Graduation,Divorced,70287.0,0,0,2013-04-02,30,295,35,482,121,120,40,1,5,5,10,3,3,11,1,0,59,20,152.05,30,0.02,Medium
7437,1988,Graduation,Single,27938.0,1,0,2014-04-28,31,13,0,8,2,1,5,1,1,0,4,3,3,11,0,1,37,5,1.03,31,0.0,Very Low
8557,1982,Graduation,Single,7500.0,1,0,2013-06-17,57,11,3,22,2,2,6,2,2,0,3,6,3,11,0,1,43,5,7.88,57,0.01,Very Low
8375,1968,Doctorate,Married,55954.0,0,1,2014-03-03,63,447,0,28,0,0,43,3,8,2,6,7,3,11,0,1,57,16,1.04,63,0.01,Low
6853,1982,Graduate,Single,75777.0,0,0,2013-07-04,12,712,26,538,69,13,80,1,3,6,11,1,3,11,1,0,43,20,90.06,12,0.02,Medium
3076,1975,Graduation,Together,66653.0,1,1,2012-09-07,18,452,18,102,16,18,6,4,4,2,12,3,3,11,0,2,50,18,48.98,18,0.01,Medium
1012,1952,Graduation,Single,61823.0,0,1,2013-02-18,26,523,7,134,37,14,169,4,8,2,10,7,3,11,0,1,73,20,31.03,26,0.01,Medium
6518,1951,Doctorate,Widow,67680.0,0,1,2013-06-11,8,546,0,48,0,6,6,1,7,3,8,5,3,11,0,1,74,18,3.78,8,0.01,Medium
4137,1948,Graduation,Together,70666.0,0,0,2013-12-06,29,398,40,367,119,122,30,1,7,4,4,4,3,11,0,0,77,15,158.06,29,0.02,Medium
8082,1971,Graduation,Married,25721.0,1,0,2013-05-21,75,1,3,6,3,6,15,1,1,1,2,7,3,11,1,1,54,4,8.82,75,0.0,Very Low
1386,1967,Graduation,Together,32474.0,1,1,2014-05-11,0,10,0,1,0,0,0,1,1,0,2,7,3,11,0,2,58,3,0.04,0,0.0,Low
9369,1979,2n Cycle,Single,88194.0,0,1,2014-03-19,19,688,14,309,201,24,38,1,11,10,10,5,3,11,1,1,46,31,87.64,19,0.01,Medium
4477,1958,Graduation,Together,69096.0,0,1,2013-09-27,4,247,49,159,7,82,109,1,5,2,10,4,3,11,0,1,67,17,132.62,4,0.01,Medium
1357,1970,Graduation,Together,74854.0,1,2,2013-04-08,90,856,59,487,58,29,73,7,2,5,5,5,3,11,0,3,55,12,157.3,90,0.02,Medium
1402,1954,Graduate,Married,66991.0,0,0,2012-09-11,1,496,36,460,189,60,12,3,4,8,6,3,3,11,0,0,71,18,146.84,1,0.02,Medium
10629,1973,2n Cycle,Married,7500.0,1,0,2012-09-14,25,25,3,43,17,4,17,3,3,0,3,8,3,11,0,1,52,6,12.33,25,0.01,Very Low
6312,1959,Graduation,Married,65031.0,0,1,2013-03-17,29,258,107,291,84,37,86,4,10,3,13,7,3,11,0,1,66,26,253.91,29,0.01,Medium
8132,1975,Doctorate,Married,60631.0,1,1,2013-04-05,88,565,6,65,0,6,19,5,9,2,8,7,3,11,0,2,50,19,16.41,88,0.01,Medium
1050,1952,Graduation,Married,28332.0,0,0,2014-04-30,58,14,10,13,4,15,9,1,2,1,4,2,3,11,0,0,73,7,26.28,58,0.0,Very Low
5846,1977,Graduation,Divorced,40246.0,1,0,2012-12-19,68,2,1,6,2,1,1,1,1,0,2,6,3,11,0,1,48,3,2.96,68,0.0,Low
1859,1972,Graduate,Married,75251.0,0,0,2012-08-27,34,721,111,925,97,18,18,1,7,6,5,5,3,11,1,0,53,18,281.66,34,0.03,Medium
7503,1976,Graduation,Single,75825.0,0,0,2012-10-12,40,1032,105,779,137,105,51,0,5,8,9,4,3,11,1,0,49,22,301.25,40,0.03,Medium
10401,1976,2n Cycle,Together,26326.0,0,0,2013-09-04,12,1,0,5,0,3,9,1,0,0,3,3,3,11,0,0,49,3,1.19,12,0.0,Very Low
1618,1965,Graduation,Together,56046.0,0,0,2013-01-02,9,577,0,64,0,0,51,2,10,1,8,8,3,11,1,0,60,19,2.37,9,0.01,Low
3332,1985,Graduation,Single,29760.0,1,0,2012-08-29,87,64,4,68,7,5,17,4,3,1,4,8,3,11,0,1,40,8,13.59,87,0.01,Very Low
2261,1969,Graduation,Married,26304.0,1,0,2013-06-23,5,4,1,5,2,0,4,1,1,0,2,7,3,11,0,1,56,3,2.59,5,0.0,Very Low
5346,1973,2n Cycle,Married,23559.0,1,0,2013-07-03,87,25,5,19,7,0,23,3,3,0,3,7,3,11,0,1,52,6,12.1,87,0.0,Very Low
4119,1963,Graduate,Together,38620.0,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,3,11,0,0,62,10,49.76,56,0.01,Low
535,1987,Graduation,Divorced,81361.0,0,0,2014-02-25,18,163,23,424,27,65,76,1,3,10,13,1,3,11,0,0,38,26,88.77,18,0.01,Medium
5268,1960,Graduation,Married,29440.0,1,1,2013-08-11,95,17,8,14,10,4,3,2,1,0,4,7,3,11,0,2,65,5,19.85,95,0.0,Very Low
273,1970,Graduate,Married,36138.0,1,1,2013-07-16,48,130,0,16,0,0,5,5,3,1,4,7,3,11,0,2,55,8,0.59,48,0.0,Low
4452,1957,Graduation,Single,50388.0,0,1,2014-05-28,3,292,6,37,0,3,34,4,6,1,6,7,3,11,1,1,68,13,14.37,3,0.01,Low
8504,1973,Graduation,Married,79593.0,0,0,2014-05-12,70,350,60,568,110,133,145,1,5,6,7,2,3,11,0,0,52,18,207.37,70,0.02,Medium
771,1967,Graduation,Together,54178.0,0,1,2014-01-21,79,135,9,39,4,0,7,1,2,2,5,2,3,11,0,1,58,9,20.24,79,0.0,Low
8996,1957,Doctorate,Married,7500.0,2,1,2012-11-19,4,230,42,192,49,37,53,12,7,2,8,9,3,11,0,3,68,17,113.24,4,0.08,Very Low
9235,1957,Graduation,Single,7500.0,1,1,2014-05-27,45,7,0,8,2,0,1,1,1,0,2,7,3,11,0,2,68,3,0.7,45,0.0,Very Low
5798,1973,Graduate,Together,7500.0,0,0,2013-11-23,87,445,37,359,98,28,18,1,2,4,8,1,3,11,0,0,52,14,116.23,87,0.13,Very Low
11178,1972,Graduate,Single,42394.0,1,0,2014-03-23,69,15,2,10,0,1,4,1,1,0,3,7,3,11,0,1,53,4,4.7,69,0.0,Low
2230,1970,Doctorate,Married,23626.0,1,0,2014-05-24,84,27,2,14,0,0,0,3,3,1,3,5,3,11,0,1,55,7,4.52,84,0.0,Very Low
7516,1983,Graduation,Married,30096.0,1,0,2014-05-22,30,5,3,11,12,5,9,1,2,0,3,6,3,11,0,1,42,5,10.47,30,0.0,Low
7247,1960,Graduation,Widow,47916.0,0,1,2012-11-22,72,505,0,26,0,0,75,5,7,4,6,6,3,11,0,1,65,17,0.96,72,0.01,Low
11100,1972,Graduation,Divorced,51813.0,1,1,2013-04-11,37,51,2,7,0,1,2,2,2,0,3,7,3,11,0,2,53,5,4.59,37,0.0,Low
4646,1951,2n Cycle,Married,78497.0,0,0,2013-12-01,44,207,26,447,75,0,223,1,5,7,12,2,3,11,0,0,74,24,83.56,44,0.01,Medium
3037,1983,Doctorate,Married,50150.0,0,0,2013-06-20,32,135,46,92,65,61,11,2,5,2,7,5,3,11,0,0,42,14,128.74,32,0.01,Low
1473,1960,2n Cycle,Single,47823.0,0,1,2013-07-23,0,53,1,5,2,1,10,2,2,0,3,8,3,11,0,1,65,5,2.92,0,0.0,Low
1016,1959,Doctorate,Single,34554.0,0,1,2014-03-30,43,41,1,6,2,0,5,2,2,0,3,6,3,11,0,1,66,5,2.62,43,0.0,Low
4518,1979,Graduation,Together,85693.0,0,1,2013-04-20,59,386,172,183,185,132,111,2,9,5,11,5,3,11,0,1,46,25,431.78,59,0.01,Medium
9370,1945,Doctorate,Married,65846.0,0,0,2013-05-17,68,562,81,276,80,40,81,1,6,3,6,4,3,11,0,0,80,15,201.56,68,0.02,Medium
8908,1959,Graduation,Married,87195.0,0,0,2014-05-08,35,217,76,690,50,26,38,1,3,11,5,1,3,11,1,0,66,19,196.22,35,0.01,Medium
8373,1979,Primary,Together,24594.0,1,0,2013-12-10,94,1,3,6,10,0,9,1,1,0,3,5,3,11,0,1,46,4,8.22,94,0.0,Very Low
7533,1964,Graduation,Married,49096.0,1,1,2013-09-24,15,144,1,32,2,1,7,4,4,1,4,7,3,11,0,2,61,9,3.92,15,0.0,Low
2683,1969,Graduation,Married,52413.0,0,2,2013-02-02,56,295,106,271,75,98,65,4,6,4,12,6,3,11,0,2,56,22,269.7,56,0.02,Low
3629,1978,Graduation,Single,38557.0,1,0,2012-12-19,17,76,3,31,4,4,27,2,3,1,3,7,3,11,0,1,47,7,9.28,17,0.0,Low
10991,1960,Graduate,Married,89058.0,0,0,2012-12-07,18,454,194,106,31,22,43,1,5,4,4,2,3,11,0,0,65,13,405.46,18,0.01,Medium
5077,1979,Graduation,Together,77298.0,0,1,2013-11-02,46,425,115,292,23,35,79,1,6,6,11,3,3,11,0,1,46,23,257.08,46,0.01,Medium
7431,1991,Doctorate,Single,68126.0,0,0,2012-11-10,40,1332,17,311,23,51,86,1,7,4,5,9,3,11,1,0,34,16,67.12,40,0.03,Medium
3267,1963,Graduate,Together,57288.0,0,1,2014-06-25,27,527,0,21,0,0,60,3,8,1,8,6,3,11,0,1,62,17,0.78,27,0.01,Low
999,1991,Graduation,Single,86037.0,0,0,2013-01-02,95,490,44,125,29,20,22,1,6,7,11,3,3,11,1,0,34,24,105.1,95,0.01,Medium
9215,1980,Doctorate,Married,43974.0,1,0,2012-12-12,19,378,0,101,0,0,72,5,6,4,6,7,3,11,0,1,45,16,3.74,19,0.01,Low
2286,1962,Graduation,Single,50785.0,1,1,2013-09-10,27,64,1,21,0,1,27,2,2,1,3,6,3,11,0,2,63,6,3.11,27,0.0,Low
1592,1970,Graduation,Married,90765.0,0,0,2014-01-24,25,547,99,812,151,82,33,0,4,6,5,1,3,11,0,0,55,15,285.61,25,0.02,High
367,1978,2n Cycle,Married,36550.0,1,0,2013-02-19,74,47,90,94,123,103,120,5,9,1,5,9,3,11,0,1,47,15,242.41,74,0.02,Low
5234,1967,2n Cycle,Together,30753.0,1,1,2013-07-11,85,12,5,25,0,9,30,2,1,1,3,5,3,11,0,2,58,5,13.93,85,0.0,Low
9862,1969,Graduation,Together,21918.0,1,0,2013-11-14,37,1,6,7,11,5,3,2,2,0,3,6,3,11,0,1,56,5,16.13,37,0.0,Very Low
9805,1953,Graduate,Together,56129.0,0,1,2013-06-20,65,320,48,133,39,72,48,4,6,2,10,4,3,11,0,1,72,18,132.73,65,0.01,Low
6205,1967,Graduate,Single,32557.0,1,0,2014-02-24,13,34,3,29,0,4,10,3,2,1,3,5,3,11,1,1,58,6,8.41,13,0.0,Low
8442,1985,Graduate,Married,19510.0,2,0,2013-09-04,63,9,0,7,3,4,7,2,1,0,3,7,3,11,0,2,40,4,2.19,63,0.0,Very Low
7386,1976,Graduation,Divorced,30992.0,1,0,2013-04-22,83,17,0,14,7,3,2,1,1,0,3,7,3,11,0,1,49,4,2.92,83,0.0,Low
7215,1983,Graduation,Single,101970.0,0,0,2013-03-12,69,722,27,102,44,72,168,0,6,8,13,2,3,11,1,0,42,27,90.58,69,0.01,High
1491,1965,2n Cycle,Together,71488.0,0,0,2013-02-18,87,162,33,124,40,28,172,2,3,4,7,1,3,11,0,0,60,14,87.93,87,0.01,Medium
11071,1984,Graduation,Single,79607.0,0,0,2013-04-21,37,450,133,951,173,0,216,1,3,6,6,1,3,11,1,0,41,15,335.82,37,0.02,Medium
3381,1953,Graduate,Married,54348.0,1,1,2014-06-08,51,70,0,16,0,0,4,2,2,0,4,6,3,11,0,2,72,6,0.59,51,0.0,Low
8268,1961,Doctorate,Married,7500.0,0,1,2013-07-11,23,352,0,27,10,0,15,3,6,1,7,6,3,11,0,1,64,14,3.0,23,0.05,Very Low
11051,1956,Doctorate,Together,77376.0,1,1,2014-05-10,72,492,19,110,16,12,12,4,6,3,10,4,3,11,0,2,69,19,49.27,72,0.01,Medium
8026,1952,Graduation,Married,62998.0,0,1,2013-09-30,10,120,58,73,65,89,58,5,5,4,5,5,3,11,0,1,73,14,161.37,10,0.01,Medium
433,1958,Graduate,Single,61331.0,1,1,2013-03-10,42,534,5,47,0,5,41,5,11,1,6,8,3,11,0,2,67,18,13.41,42,0.01,Medium
9597,1969,Graduation,Married,73448.0,0,0,2014-02-10,10,236,106,189,23,41,130,1,7,2,9,4,3,11,0,0,56,18,237.27,10,0.01,Medium
1295,1963,Graduation,Married,7500.0,0,1,2013-08-11,96,231,65,196,38,71,124,1,6,5,7,4,3,11,0,1,62,18,168.53,96,0.1,Very Low
5290,1964,Doctorate,Married,41551.0,1,1,2013-08-14,51,220,0,33,3,0,23,5,5,1,5,8,3,11,0,2,61,11,1.82,51,0.01,Low
1685,1967,Doctorate,Together,62981.0,0,0,2013-03-17,21,796,14,590,38,44,0,1,4,5,13,3,3,11,0,0,58,22,72.12,21,0.02,Medium
5342,1976,Primary,Divorced,9548.0,1,0,2012-08-08,31,0,1,3,10,6,9,2,1,0,3,8,3,11,0,1,49,4,6.11,31,0.0,Very Low
9579,1959,Doctorate,Married,33762.0,2,1,2013-07-07,61,53,1,34,2,0,16,3,2,2,2,8,3,11,0,3,66,6,3.66,61,0.0,Low
7660,1973,Doctorate,Single,35860.0,1,1,2014-05-19,37,15,0,8,4,2,20,2,1,1,2,5,3,11,1,2,52,4,1.76,37,0.0,Low
1461,1965,Doctorate,Divorced,36921.0,1,1,2013-07-28,74,17,1,12,3,1,4,2,2,0,3,7,3,11,0,2,60,5,3.38,74,0.0,Low
821,1992,Graduate,Single,92859.0,0,0,2012-10-19,46,962,61,921,52,61,20,1,5,4,12,2,3,11,0,0,33,21,186.84,46,0.02,High
11084,1976,Graduate,Together,65104.0,0,1,2013-11-14,4,738,0,232,13,20,50,2,3,5,7,7,3,11,1,1,49,15,17.86,4,0.02,Medium
8690,1962,Graduation,Married,86111.0,0,0,2013-04-19,73,399,28,756,36,40,126,1,5,7,10,2,3,11,0,0,63,22,104.53,73,0.02,Medium
2937,1974,Doctorate,Single,68352.0,0,1,2013-08-28,47,614,16,132,43,33,33,3,8,5,9,6,3,11,0,1,51,22,56.49,47,0.01,Medium
9701,1988,Graduation,Together,41883.0,1,0,2013-03-19,13,32,34,41,73,16,116,3,4,2,3,7,3,11,0,1,37,9,89.45,13,0.01,Low
9949,1976,Graduation,Married,59809.0,0,2,2012-10-18,36,598,16,141,32,41,49,3,3,3,6,8,3,11,0,2,49,12,57.29,36,0.01,Low
10837,1975,Graduation,Married,23957.0,1,0,2012-10-28,47,2,1,18,20,11,16,1,2,0,3,6,3,11,1,1,50,5,10.33,47,0.0,Very Low
3120,1981,Graduation,Together,38547.0,1,0,2013-08-28,49,6,1,10,0,1,4,1,1,0,2,8,3,11,0,1,44,3,2.7,49,0.0,Low
5885,1973,2n Cycle,Married,35688.0,2,1,2012-08-22,94,73,3,90,12,1,32,7,4,1,4,8,3,11,0,3,52,9,12.07,94,0.01,Low
4050,1966,Graduate,Married,49605.0,0,0,2014-06-21,65,42,16,29,12,20,8,1,2,1,4,3,3,11,0,0,59,7,42.14,65,0.0,Low
3830,1953,Graduate,Married,59354.0,0,2,2014-04-24,59,295,21,78,39,13,13,1,4,4,7,3,3,11,0,2,72,15,57.02,59,0.01,Low
7987,1969,Graduation,Married,65747.0,0,1,2014-03-07,96,346,17,48,23,13,13,4,8,1,6,6,3,11,0,1,56,15,44.71,96,0.01,Medium
7798,1972,2n Cycle,Together,46344.0,0,1,2012-12-14,28,233,20,57,8,20,91,4,7,1,5,7,3,11,0,1,53,13,50.38,28,0.01,Low
92,1988,Graduation,Single,34176.0,1,0,2014-05-12,12,5,7,24,19,14,20,4,3,0,4,6,3,11,0,1,37,7,23.36,12,0.0,Low
7055,1952,Doctorate,Together,61010.0,0,1,2012-10-09,57,888,0,57,0,0,76,2,8,5,11,5,3,11,0,1,73,24,2.11,57,0.02,Medium
10240,1949,Graduation,Together,69372.0,0,0,2013-02-19,10,997,26,269,34,13,42,1,10,4,6,4,3,11,1,0,76,20,73.1,10,0.02,Medium
3025,1958,Graduation,Single,49967.0,0,1,2013-07-08,4,212,6,69,4,12,3,3,6,1,5,7,3,11,0,1,67,12,19.36,4,0.01,Low
9283,1978,Graduation,Single,60199.0,1,2,2013-09-12,49,8,1,7,2,0,0,1,0,0,3,4,3,11,0,3,47,3,2.66,49,0.0,Medium
9970,1977,Graduation,Together,55375.0,0,1,2013-10-17,3,42,11,57,10,28,14,1,1,1,6,2,3,11,0,1,48,8,35.44,3,0.0,Low
2730,1955,Graduation,Single,80317.0,0,0,2013-08-20,64,536,11,387,149,91,57,1,3,4,10,1,3,11,0,0,70,17,96.47,64,0.02,Medium
2795,1958,Graduate,Single,30523.0,2,1,2013-07-01,0,5,0,3,0,0,5,1,1,0,2,7,3,11,0,3,67,3,0.11,0,0.0,Low
9260,1945,Doctorate,Married,70356.0,0,0,2012-11-05,20,1349,16,249,43,16,33,2,10,6,9,6,3,11,0,0,80,25,55.16,20,0.02,Medium
8182,1984,Graduation,Married,23228.0,1,0,2014-01-05,91,53,3,49,7,4,5,4,3,0,4,8,3,11,0,1,41,7,10.55,91,0.01,Very Low
10095,1975,Doctorate,Divorced,74165.0,0,0,2013-05-01,9,1001,12,240,16,12,12,1,5,4,10,2,3,11,0,0,50,19,40.09,9,0.02,Medium
8475,1973,Doctorate,Married,157243.0,0,1,2014-03-01,98,20,2,1582,1,2,1,15,0,22,0,0,3,11,0,1,52,22,63.46,98,0.01,Very High
4370,1966,Graduation,Together,43482.0,2,1,2013-11-13,83,18,1,32,6,3,28,3,2,0,4,6,3,11,0,3,59,6,5.39,83,0.0,Low
10573,1953,Graduation,Divorced,62551.0,0,0,2013-11-18,27,125,16,98,134,21,27,1,6,7,4,3,3,11,0,0,72,17,69.43,27,0.01,Medium
3712,1959,Graduation,Divorced,52332.0,0,0,2013-08-28,63,212,5,33,7,0,2,1,3,2,6,4,3,11,0,0,66,11,12.62,63,0.0,Low
