Year,Country,Avg_Temperature_degC,CO2_Emissions_tons_per_capita,Sea_Level_Rise_mm,Rainfall_mm,Population,Renewable_Energy_pct,Extreme_Weather_Events,Forest_Area_pct,Decade,Total_CO2_Emissions,Renewable_to_Emission_Ratio,Weather_Risk_Level,Forest_Change_Rate,Temperature_Change,Norm_Temp,Norm_Sea,Norm_Events,Climate_Impact_Score
2011,'South Africa',10.3,4.5,2.2,2568.0,1119101202,26.0,5,34.1,2010,5035955409.0,5.7777649383001375,Faible,-26.699999999999996,-10.7,0.17725752508361203,0.30000000000000004,0.3571428571428571,0.2781334607421564
2011,'South Africa',21.7,3.4,1.2,1394.0,717982156,26.8,0,36.8,2010,2441139330.4,7.882329757853654,Faible,2.6999999999999957,11.399999999999999,0.5585284280936454,0.04999999999999999,0.0,0.20284280936454846
2012,'South Africa',18.5,1.4,3.9,643.0,575218436,5.8,14,43.0,2010,805305810.4,4.142827551231777,Modéré,6.200000000000003,-3.1999999999999993,0.45150501672240795,0.725,1.0,0.7255016722408026
2012,'South Africa',26.6,9.6,4.1,698.0,60938189,10.4,7,18.8,2010,585006614.4,1.0833322048622867,Faible,-24.2,8.100000000000001,0.7224080267558528,0.7749999999999999,0.5,0.6658026755852843
2012,'South Africa',10.3,1.5,2.7,2655.0,1093034759,27.6,5,54.3,2010,1639552138.5,18.399877334151107,Faible,35.5,-16.3,0.17725752508361203,0.42500000000000004,0.3571428571428571,0.3198001274088231
2012,'South Africa',18.2,18.8,5.0,2885.0,90703756,30.0,3,53.9,2010,1705230612.8,1.5957438320511532,Faible,-0.3999999999999986,7.899999999999999,0.44147157190635444,1.0,0.21428571428571427,0.5519190953973562
2012,'South Africa',29.6,16.5,1.5,986.0,1381708532,22.1,8,16.1,2010,22798190778.0,1.3393931276405289,Faible,-37.8,11.400000000000002,0.822742474916388,0.125,0.5714285714285714,0.5063903487816531
2013,'South Africa',20.7,11.2,1.4,969.0,1383289354,24.1,4,37.3,2010,15492840764.8,2.151783793050185,Faible,21.199999999999996,-8.900000000000002,0.5250836120401338,0.09999999999999998,0.2857142857142857,0.30359929925147316
2013,'South Africa',32.1,8.9,1.8,1047.0,110285989,8.5,4,51.1,2010,981545302.1,0.9550551066796554,Faible,13.800000000000004,11.400000000000002,0.9063545150501672,0.2,0.2857142857142857,0.464022933588151
2013,'South Africa',7.8,11.1,1.5,591.0,760436315,16.4,9,63.9,2010,8440843096.5,1.477476146417886,Faible,12.799999999999997,-24.3,0.09364548494983277,0.125,0.6428571428571428,0.2871675426023252
2014,'South Africa',5.0,1.1,3.8,2554.0,227838160,33.4,13,25.8,2010,250621976.00000003,30.363360333087876,Modéré,-38.099999999999994,-2.8,0.0,0.7,0.9285714285714285,0.5428571428571428
2014,'South Africa',20.4,3.2,4.4,2065.0,942604659,15.8,5,45.0,2010,3016334908.8,4.937484570360717,Faible,19.2,15.399999999999999,0.5150501672240801,0.8500000000000001,0.3571428571428571,0.5740643414556458
2014,'South Africa',13.5,16.5,4.8,1343.0,758625247,5.3,6,14.9,2010,12517316575.5,0.32121192653822633,Faible,-30.1,-6.899999999999999,0.2842809364548495,0.95,0.42857142857142855,0.5542841216754261
2014,'South Africa',33.4,19.8,2.8,2560.0,1064093028,23.3,13,62.2,2010,21069041954.4,1.1767670824408674,Modéré,47.300000000000004,19.9,0.9498327759197324,0.44999999999999996,0.9285714285714285,0.776134734830387
2014,'South Africa',23.4,10.5,4.2,1569.0,560722005,41.1,5,35.4,2010,5887581052.5,3.9142819863981084,Faible,-26.800000000000004,-10.0,0.6153846153846153,0.8,0.3571428571428571,0.5908424908424909
2014,'South Africa',8.9,8.0,1.3,897.0,46184187,15.4,0,24.8,2010,369473496.0,1.924997593753008,Faible,-10.599999999999998,-14.499999999999998,0.13043478260869568,0.07500000000000001,0.0,0.06847826086956522
2015,'South Africa',31.1,13.8,4.5,2531.0,358440341,20.0,13,28.8,2010,4946476705.8,1.4492743121200637,Modéré,4.0,22.200000000000003,0.8729096989966555,0.875,0.9285714285714285,0.892160375856028
2015,'South Africa',23.9,10.5,4.0,2315.0,975428867,12.6,1,62.9,2010,10242003103.5,1.1999988571439455,Faible,34.099999999999994,-7.200000000000003,0.6321070234113711,0.75,0.07142857142857142,0.4845118649466475
2015,'South Africa',33.0,5.2,1.8,2744.0,514381167,20.8,1,69.4,2010,2674782068.4,3.999992307707101,Faible,6.500000000000007,9.100000000000001,0.9364548494983277,0.2,0.07142857142857142,0.40262780697563305
2015,'South Africa',7.9,3.3,3.1,616.0,1113296994,45.3,13,13.4,2010,3673880080.2,13.727231129602638,Modéré,-56.00000000000001,-25.1,0.09698996655518394,0.525,0.9285714285714285,0.5168537983755375
2016,'South Africa',13.9,1.2,4.3,1403.0,478389387,15.7,13,60.4,2010,574067264.4,13.083224306464112,Modéré,47.0,6.0,0.29765886287625415,0.825,0.9285714285714285,0.6837434304825609
2016,'South Africa',12.2,11.3,1.2,1618.0,663913018,38.3,4,36.2,2010,7502217103.400001,3.389377531524308,Faible,-24.199999999999996,-1.700000000000001,0.24080267558528423,0.04999999999999999,0.2857142857142857,0.19217232043319
2016,'South Africa',32.9,18.0,2.6,2771.0,976037143,12.4,9,55.5,2010,17568668574.0,0.6888885061730522,Faible,19.299999999999997,20.7,0.9331103678929765,0.4,0.6428571428571428,0.6586558369167065
2016,'South Africa',27.0,2.9,2.1,564.0,1045450055,48.5,7,42.0,2010,3031805159.5,16.7240802617922,Faible,-13.5,-5.899999999999999,0.7357859531772575,0.275,0.5,0.5035953177257525
2016,'South Africa',9.7,3.7,1.7,1703.0,542638938,10.3,0,43.7,2010,2007764070.6000001,2.783776260064162,Faible,1.7000000000000028,-17.3,0.15719063545150497,0.175,0.0,0.11073021181716831
2017,'South Africa',11.3,0.6,3.0,1005.0,941922654,41.6,3,40.3,2010,565153592.4,69.33217779703672,Faible,-3.4000000000000057,1.6000000000000014,0.21070234113712377,0.5,0.21428571428571427,0.30832935180761273
2017,'South Africa',31.9,16.3,2.4,2857.0,1323666625,14.0,5,30.7,2010,21575765987.5,0.858895178591915,Faible,-9.599999999999998,20.599999999999998,0.8996655518394648,0.35,0.3571428571428571,0.5356028029941072
2018,'South Africa',33.9,6.0,4.5,827.0,83947380,17.7,1,56.6,2010,503684280.0,2.949995083341528,Faible,25.900000000000002,2.0,0.9665551839464882,0.875,0.07142857142857142,0.6376612517916865
2019,'South Africa',26.8,2.8,1.3,1965.0,689862289,21.7,8,63.7,2010,1931614409.1999998,7.749972321527423,Faible,7.100000000000001,-7.099999999999998,0.7290969899665551,0.07500000000000001,0.5714285714285714,0.45850852046504215
2020,'South Africa',26.7,13.7,1.9,772.0,491644777,11.5,7,21.0,2020,6735533444.9,0.8394154456821565,Faible,-42.7,-0.10000000000000142,0.725752508361204,0.22499999999999998,0.5,0.4835841694537346
2020,'South Africa',17.0,15.3,2.9,1221.0,148881368,40.6,1,50.9,2020,2277884930.4,2.653593036867296,Faible,29.9,-9.7,0.4013377926421404,0.475,0.07142857142857142,0.31592212135690395
2020,'South Africa',25.1,10.8,4.9,793.0,1142896221,17.1,7,56.7,2020,12343279186.800001,1.583331867285308,Faible,5.800000000000004,8.100000000000001,0.6722408026755853,0.9750000000000001,0.5,0.7157469342251952
2020,'South Africa',13.0,10.2,2.9,2548.0,805165392,36.9,6,39.6,2020,8212686998.4,3.617643512114204,Faible,-17.1,-12.100000000000001,0.26755852842809363,0.475,0.42857142857142855,0.39037665233317403
2020,'South Africa',10.0,2.7,2.6,642.0,121780956,17.6,5,59.8,2020,328808581.20000005,6.518494375946756,Faible,20.199999999999996,-3.0,0.16722408026755853,0.4,0.3571428571428571,0.30812231247013855
2021,'South Africa',12.7,4.2,3.7,2021.0,1112155060,7.5,10,51.7,2020,4671051252.0,1.7857100340237286,Modéré,-8.099999999999994,2.6999999999999993,0.2575250836120401,0.675,0.7142857142857142,0.5489369326325848
2021,'South Africa',21.7,4.7,2.9,2654.0,845679328,38.5,5,16.7,2020,3974692841.6000004,8.191471933038441,Faible,-35.0,9.0,0.5585284280936454,0.475,0.3571428571428571,0.4635570950788342
2021,'South Africa',7.8,12.5,2.6,2997.0,306103394,15.5,9,51.3,2020,3826292425.0,1.2399990080007937,Faible,34.599999999999994,-13.899999999999999,0.09364548494983277,0.4,0.6428571428571428,0.37883420926899186
2022,'South Africa',32.8,9.4,2.8,2779.0,934565900,27.1,14,23.9,2020,8784919460.0,2.882975656408876,Modéré,-27.4,24.999999999999996,0.9297658862876254,0.44999999999999996,1.0,0.7932552954292085
2022,'South Africa',34.4,9.0,3.8,501.0,455208813,37.1,14,32.4,2020,4096879317.0,4.122217641980398,Modéré,8.5,1.6000000000000014,0.983277591973244,0.7,1.0,0.8944258639910814
2022,'South Africa',6.7,15.8,1.5,937.0,1088137161,31.0,1,16.8,2020,17192567143.8,1.962024074668307,Faible,-15.599999999999998,-27.7,0.05685618729096989,0.125,0.07142857142857142,0.08442825290651378
2022,'South Africa',15.8,16.2,3.0,2640.0,655042381,44.7,11,17.5,2020,10611686572.199999,2.759257556013855,Modéré,0.6999999999999993,9.100000000000001,0.3612040133779264,0.5,0.7857142857142857,0.5489727663640708
2023,'South Africa',14.6,14.7,1.5,875.0,1311714067,31.1,14,19.7,2020,19282196784.899998,2.1156448192892388,Modéré,2.1999999999999993,-1.200000000000001,0.3210702341137123,0.125,1.0,0.48202341137123744
2023,'South Africa',24.6,15.3,3.9,1646.0,583534992,46.4,4,44.3,2020,8928085377.6,3.032677756419767,Faible,24.599999999999998,10.000000000000002,0.6555183946488294,0.725,0.2857142857142857,0.5554108934543717
2000,Argentina,16.9,3.9,4.0,2047.0,564877556,15.5,11,18.4,2000,2203022468.4,3.9743487837210676,Modéré,,,0.39799331103678925,0.75,0.7857142857142857,0.6445691989170249
2001,Argentina,33.2,18.2,2.9,2372.0,1078565697,15.7,1,39.7,2000,19629895685.399998,0.8626368886610501,Faible,21.300000000000004,16.300000000000004,0.9431438127090302,0.475,0.07142857142857142,0.4965241280458672
2001,Argentina,24.8,14.3,2.8,2813.0,332640493,33.8,12,15.6,2000,4756759049.900001,2.3636347107449573,Modéré,-24.1,-8.400000000000002,0.6622073578595318,0.44999999999999996,0.8571428571428571,0.6564500716674629
2001,Argentina,21.5,1.1,4.7,2005.0,597841637,31.6,2,17.7,2000,657625800.7,28.727011572622065,Faible,2.0999999999999996,-3.3000000000000007,0.5518394648829431,0.925,0.14285714285714285,0.5398988692466954
2001,Argentina,8.4,16.8,2.3,2035.0,1334032802,12.7,3,19.8,2000,22411751073.600002,0.7559519309809934,Faible,2.1000000000000014,-13.1,0.11371237458193978,0.32499999999999996,0.21428571428571427,0.21766602962255133
2002,Argentina,14.3,16.6,2.6,1325.0,845772793,26.7,7,58.2,2000,14039828363.800001,1.6084327660043576,Faible,38.400000000000006,5.9,0.3110367892976589,0.4,0.5,0.40367892976588626
2002,Argentina,27.6,13.6,1.6,1056.0,711474124,11.1,10,23.8,2000,9676048086.4,0.8161758704589188,Modéré,-34.400000000000006,13.3,0.7558528428093646,0.15000000000000002,0.7142857142857142,0.5400461856983596
2003,Argentina,10.0,16.5,1.3,626.0,1211429158,21.9,13,17.2,2000,19988581107.0,1.3272719228655012,Modéré,-6.600000000000001,-17.6,0.16722408026755853,0.07500000000000001,0.9285714285714285,0.3902651696129957
2004,Argentina,9.8,2.1,1.5,1290.0,742981303,15.6,1,40.1,2000,1560260736.3,7.428536054590215,Faible,22.900000000000002,-0.1999999999999993,0.1605351170568562,0.125,0.07142857142857142,0.1189878961618092
2004,Argentina,15.4,8.5,2.0,1416.0,1114422920,31.8,0,46.9,2000,9472594820.0,3.7411720692093304,Faible,6.799999999999997,5.6,0.34782608695652173,0.25,0.0,0.19927536231884058
2005,Argentina,9.0,1.1,3.3,1516.0,1253813851,9.5,3,44.4,2000,1379195236.1000001,8.636285124680683,Faible,-2.5,-6.4,0.1337792642140468,0.575,0.21428571428571427,0.307688326166587
2005,Argentina,9.7,5.3,2.9,2660.0,704269727,33.0,8,30.5,2000,3732629553.1,6.226403346408781,Faible,-13.899999999999999,0.6999999999999993,0.15719063545150497,0.475,0.5714285714285714,0.4012064022933588
2005,Argentina,27.0,14.3,2.5,1955.0,898654624,29.3,2,20.2,2000,12850761123.2,2.0489496161191494,Faible,-10.3,17.3,0.7357859531772575,0.375,0.14285714285714285,0.41788103201146676
2005,Argentina,24.3,14.8,2.3,1035.0,417690049,26.4,12,58.7,2000,6181812725.200001,1.7837825785252845,Modéré,38.5,-2.6999999999999993,0.6454849498327759,0.32499999999999996,0.8571428571428571,0.6092092689918777
2005,Argentina,5.7,10.6,4.1,1730.0,1356785799,8.0,10,61.6,2000,14381929469.4,0.7547162691355952,Modéré,2.8999999999999986,-18.6,0.02341137123745818,0.7749999999999999,0.7142857142857142,0.5042323618410575
2005,Argentina,10.0,11.2,2.5,1533.0,567420977,21.5,6,23.8,2000,6355114942.4,1.9196411431775509,Faible,-37.8,4.3,0.16722408026755853,0.375,0.42857142857142855,0.323598502946329
2006,Argentina,30.7,11.6,3.9,1755.0,586706107,41.9,10,50.5,2000,6805790841.2,3.6120658516673694,Modéré,26.7,20.7,0.8595317725752508,0.725,0.7142857142857142,0.7662724956203216
2006,Argentina,22.9,16.6,2.1,2272.0,1069151826,18.4,8,16.6,2000,17747920311.600002,1.1084330672089955,Faible,-33.9,-7.800000000000001,0.5986622073578595,0.275,0.5714285714285714,0.4816969262621436
2006,Argentina,25.1,14.4,4.6,990.0,417520615,36.1,6,58.4,2000,6012296856.0,2.5069427035120118,Faible,41.8,2.200000000000003,0.6722408026755853,0.8999999999999999,0.42857142857142855,0.6669374104156712
2006,Argentina,12.3,5.7,4.1,690.0,964717552,40.1,13,62.0,2000,5498890046.400001,7.035075377060743,Modéré,3.6000000000000014,-12.8,0.24414715719063546,0.7749999999999999,0.9285714285714285,0.6492395285873546
2007,Argentina,7.7,19.9,1.6,918.0,203114192,16.9,10,58.7,2000,4041972420.7999997,0.8492458043990933,Modéré,-3.299999999999997,-4.6000000000000005,0.0903010033444816,0.15000000000000002,0.7142857142857142,0.31819557254339864
2008,Argentina,18.0,7.1,4.8,1037.0,1209391736,27.8,4,47.1,2000,8586681325.599999,3.915487442975433,Faible,-11.600000000000001,10.3,0.4347826086956521,0.95,0.2857142857142857,0.5568322981366459
2008,Argentina,25.1,15.4,2.7,2386.0,803864353,48.2,12,54.9,2000,12379511036.2,3.1298680974882487,Modéré,7.799999999999997,7.100000000000001,0.6722408026755853,0.42500000000000004,0.8571428571428571,0.6514612199394808
2008,Argentina,21.7,2.6,2.2,1853.0,1025547493,39.4,2,18.9,2000,2666423481.8,15.153787870046653,Faible,-36.0,-3.400000000000002,0.5585284280936454,0.30000000000000004,0.14285714285714285,0.33379519031692945
2008,Argentina,28.6,16.0,3.5,1640.0,398067665,25.9,14,34.0,2000,6369082640.0,1.6187489882818822,Modéré,15.100000000000001,6.900000000000002,0.7892976588628763,0.625,1.0,0.8047658862876254
2008,Argentina,10.4,2.9,2.8,958.0,1339539083,40.2,9,26.3,2000,3884663340.7,13.862021165444258,Faible,-7.699999999999999,-18.200000000000003,0.1806020066889632,0.44999999999999996,0.6428571428571428,0.42448638318203535
2009,Argentina,11.0,12.0,1.7,2510.0,504454279,14.2,2,61.8,2000,6053451348.0,1.183332347223044,Faible,35.5,0.5999999999999996,0.2006688963210702,0.175,0.14285714285714285,0.17284201305940436
2009,Argentina,15.7,2.5,4.7,1453.0,548470440,29.4,14,26.4,2000,1371176100.0,11.759952960188158,Modéré,-35.4,4.699999999999999,0.35785953177257523,0.925,1.0,0.7609531772575252
2009,Argentina,16.4,17.2,3.7,1122.0,306798170,9.3,8,47.8,2000,5276928524.0,0.5406973600596745,Faible,21.4,0.6999999999999993,0.3812709030100334,0.675,0.5714285714285714,0.542566491479535
2009,Argentina,8.8,1.4,3.7,963.0,1344612647,28.3,5,33.0,2000,1882457705.8,20.214141327561947,Faible,-14.799999999999997,-7.599999999999998,0.1270903010033445,0.675,0.3571428571428571,0.38641105271540055
2009,Argentina,20.1,1.5,4.3,1934.0,380527763,40.1,11,61.1,2000,570791644.5,26.73315511229925,Modéré,28.1,11.3,0.5050167224080268,0.825,0.7857142857142857,0.7052436693741041
2009,Argentina,34.6,7.0,2.8,2634.0,1283287571,15.1,0,46.3,2000,8983012997.0,2.1571397755146067,Faible,-14.800000000000004,14.5,0.9899665551839464,0.44999999999999996,0.0,0.47998885172798217
2010,Argentina,5.9,1.8,3.2,1892.0,1069669579,23.7,7,17.7,2010,1925405242.2,13.166593518924893,Faible,-28.599999999999998,-28.700000000000003,0.030100334448160543,0.55,0.5,0.36003344481605354
2010,Argentina,24.5,13.6,1.2,1007.0,200316893,14.9,7,67.3,2010,2724309744.7999997,1.0955874297151253,Faible,49.599999999999994,18.6,0.6521739130434783,0.04999999999999999,0.5,0.40072463768115946
2012,Argentina,21.3,1.0,3.8,656.0,449021301,37.5,12,11.1,2010,449021301.0,37.49962500374996,Modéré,-56.199999999999996,-3.1999999999999993,0.5451505016722408,0.7,0.8571428571428571,0.700764452938366
2012,Argentina,20.6,15.7,1.2,678.0,927578734,5.4,3,22.6,2010,14562986123.8,0.34394882551030226,Faible,11.500000000000002,-0.6999999999999993,0.5217391304347826,0.04999999999999999,0.21428571428571427,0.2620082815734989
2013,Argentina,25.4,9.2,3.7,2881.0,1075399963,43.9,14,30.9,2010,9893679659.599998,4.771733943767453,Modéré,8.299999999999997,4.799999999999997,0.6822742474916387,0.675,1.0,0.7857580824972129
2013,Argentina,29.6,17.2,4.4,1172.0,994673524,21.1,9,21.6,2010,17108384612.8,1.2267434728235624,Faible,-9.299999999999997,4.200000000000003,0.822742474916388,0.8500000000000001,0.6428571428571428,0.7718665392578435
2013,Argentina,23.0,0.9,3.0,897.0,1152666411,40.7,7,48.6,2010,1037399769.9,45.22171975866935,Faible,27.0,-6.600000000000001,0.6020066889632106,0.5,0.5,0.5340022296544036
2013,Argentina,23.9,10.9,1.4,1567.0,537312924,8.5,10,21.8,2010,5856710871.6,0.77981579833413,Modéré,-26.8,0.8999999999999986,0.6321070234113711,0.09999999999999998,0.7142857142857142,0.4821309125656951
2013,Argentina,34.7,7.4,5.0,698.0,785566655,9.4,0,31.6,2010,5813193247.0,1.2702685536911438,Faible,9.8,10.800000000000004,0.9933110367892978,1.0,0.0,0.6644370122630993
2014,Argentina,33.4,16.4,3.9,2618.0,796318481,13.7,0,63.3,2010,13059623088.4,0.8353653442894242,Faible,31.699999999999996,-1.3000000000000043,0.9498327759197324,0.725,0.0,0.5582775919732441
2014,Argentina,25.9,7.6,4.2,2005.0,441359567,21.4,0,66.3,2010,3354332709.2,2.815785768702936,Faible,3.0,-7.5,0.6989966555183945,0.8,0.0,0.49966555183946487
2014,Argentina,19.8,19.6,1.2,2244.0,1209870465,9.6,6,24.5,2010,23713461114.0,0.48979566847159767,Faible,-41.8,-6.099999999999998,0.49498327759197325,0.04999999999999999,0.42857142857142855,0.3245182353878006
2015,Argentina,20.7,12.8,4.3,2761.0,455823356,50.0,3,19.4,2010,5834538956.8,3.9062469482445716,Faible,-5.100000000000001,0.8999999999999986,0.5250836120401338,0.825,0.21428571428571427,0.521456442108616
2016,Argentina,7.2,16.7,5.0,1796.0,1353028485,28.7,3,50.8,2010,22595575699.5,1.718561845172548,Faible,31.4,-13.5,0.07357859531772576,1.0,0.21428571428571427,0.42928810320114663
2016,Argentina,21.2,8.1,1.9,1819.0,395181795,22.3,2,45.3,2010,3200972539.5,2.7530830208851595,Faible,-5.5,14.0,0.5418060200668896,0.22499999999999998,0.14285714285714285,0.3032210543080108
2018,Argentina,34.6,10.7,4.6,1547.0,298632383,45.0,3,46.5,2010,3195366498.1,4.205603546164911,Faible,1.2000000000000028,13.400000000000002,0.9899665551839464,0.8999999999999999,0.21428571428571427,0.7014174231565535
2018,Argentina,27.6,14.5,4.8,2672.0,555420966,49.9,5,60.3,2010,8053604007.0,3.4413769369814227,Faible,13.799999999999997,-7.0,0.7558528428093646,0.95,0.3571428571428571,0.6876652333174073
2018,Argentina,24.7,17.8,4.0,2037.0,740582553,24.7,8,22.3,2010,13182369443.4,1.387639669865354,Faible,-38.0,-2.900000000000002,0.6588628762541805,0.75,0.5714285714285714,0.6600971492275839
2019,Argentina,21.5,6.5,1.1,1779.0,781668712,19.8,7,68.6,2010,5080846628.0,3.0461491597705237,Faible,46.3,-3.1999999999999993,0.5518394648829431,0.025000000000000022,0.5,0.35894648829431436
2019,Argentina,11.8,3.4,1.8,2949.0,697781804,49.1,8,49.1,2010,2372458133.6,14.441133996664716,Faible,-19.499999999999993,-9.7,0.2274247491638796,0.2,0.5714285714285714,0.33295110686415036
2019,Argentina,23.8,8.9,4.7,891.0,1120533308,25.9,10,46.5,2010,9972746441.2,2.9101090897650677,Modéré,-2.6000000000000014,12.0,0.6287625418060201,0.925,0.7142857142857142,0.7560160853639114
